年度,区分,区分2,金額（億円）
2026,都税収入,繰入地方消費税,"9,216"
2026,都税収入,固定資産税・都市計画税,"18,541"
2026,都税収入,その他の税,"18,973"
2026,地方譲与税,地方譲与税,787
2026,国庫支出金,国庫支出金,"4,937"
2026,繰入金,繰入金,"8,888"
2026,都債,都債,"2,226"
2026,その他の収入,助成交付金,0
2026,その他の収入,地方特例交付金,402
2026,その他の収入,特別交付金,29
2026,その他の収入,分担金及負担金,251
2026,その他の収入,使用料及手数料,923
2026,その他の収入,財産収入,603
2026,その他の収入,寄附金,0
2026,その他の収入,諸収入,"3,628"
2026,その他の収入,繰越金,0
2026,その他の収入,端数調整,0
