年度,区分,区分2,基金名,区分3,金額（億円）
2020,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度取崩額（当初）,0
2020,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2019年度最終補正後残高,"5,122"
2020,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度取崩額（当初）,"-2,547"
2020,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2020年度末残高（当初）,"2,611"
2020,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2019年度最終補正後残高,26
2020,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度取崩額（当初）,-26
2020,３つのシティ実現に向けた基金,スマート シティ,芸術文化振興基金,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2019年度最終補正後残高,46
2020,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度取崩額（当初）,-46
2020,３つのシティ実現に向けた基金,スマート シティ,おもてなし・観光基金,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2019年度最終補正後残高,691
2020,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度取崩額（当初）,-1
2020,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2020年度末残高（当初）,760
2020,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2019年度最終補正後残高,500
2020,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2020年度取崩額（当初）,-59
2020,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2020年度末残高（当初）,441
2020,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2019年度最終補正後残高,300
2020,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2020年度取崩額（当初）,0
2020,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2020年度末残高（当初）,300
2020,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2019年度最終補正後残高,300
2020,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2020年度取崩額（当初）,-7
2020,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2020年度末残高（当初）,293
2020,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2019年度最終補正後残高,1
2020,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2020年度取崩額（当初）,-1
2020,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2019年度最終補正後残高,40
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2020年度取崩額（当初）,-40
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉・健康安心基金,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2019年度最終補正後残高,126
2020,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2020年度取崩額（当初）,-126
2020,３つのシティ実現に向けた基金,ダイバーシティ,人に優しく快適な街づくり基金,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2019年度最終補正後残高,"1,866"
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2020年度取崩額（当初）,-673
2020,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2020年度末残高（当初）,"1,193"
2020,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2019年度最終補正後残高,46
2020,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2020年度取崩額（当初）,-46
2020,３つのシティ実現に向けた基金,ダイバーシティ,障害者スポーツ振興基金,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2019年度最終補正後残高,0
2020,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2020年度取崩額（当初）,-1
2020,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2020年度末残高（当初）,0
2020,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2019年度最終補正後残高,"2,784"
2020,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2020年度取崩額（当初）,"-2,610"
2020,３つのシティ実現に向けた基金,東京オリンピック・パラリンピック開催準備基金,東京オリンピック・パラリンピック開催準備基金,2020年度末残高（当初）,174
2020,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2019年度最終補正後残高,-1
2020,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2020年度取崩額（当初）,0
