年度,区分,区分2,基金名,区分3,金額（億円）
2026,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2026年度取崩額,-35
2026,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2026年度末残高,111
2026,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2025年度末残高（最終補正後）,795
2026,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2026年度取崩額,-640
2026,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2026年度末残高,159
2026,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2025年度末残高（最終補正後）,"1,061"
2026,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2026年度取崩額,-473
2026,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2026年度末残高,594
2026,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2025年度末残高（最終補正後）,-1
2026,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2026年度積立額,0
2026,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2026年度取崩額,-1
2026,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2026年度末残高,0
2026,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2025年度末残高（最終補正後）,"1,925"
2026,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2026年度積立額,0
2026,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2026年度取崩額,"-1,369"
2026,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2026年度末残高,569
2026,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2025年度末残高（最終補正後）,0
2026,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2026年度積立額,0
2026,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2026年度取崩額,0
2026,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2026年度末残高,0
2026,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2025年度末残高（最終補正後）,406
2026,３つのシティ実現に向けた基金,東京2020大会レガシー基金,東京2020大会レガシー基金,2026年度積立額,0
